codgeo;latitude;longitude;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj
200000172;6557601;965024;115,130;27163;2,35933292799444e+02;0,569
200000438;6720287;317100;327,170;35445;1,08338172815356e+02;0,601
200000545;6822642;751848;105,090;18432;1,75392520696546e+02;0,576
200000628;6353222;837136;150,580;23896;1,58693053526365e+02;0,533
200000800;6723462;629474;342,570;10548;3,07907872843506e+01;0,707
200000925;6682848;866901;195,180;22004;1,12736960754176e+02;0,694
200000933;6706394;653115;974,560;14597;1,49780413725168e+01;0,721
200004802;6285572;1000962;408,000;28088;6,88431372549020e+01;0,531
200005932;6737402;620802;417,260;15402;3,69122369745482e+01;0,722
200005957;6813763;968641;328,960;13052;3,96765564202335e+01;0,615
200006682;6656547;835217;558,810;51395;9,19722266960148e+01;0,707
200006716;6821854;738015;295,850;16830;5,68869359472706e+01;0,619
200006930;6403932;761329;262,270;5186;1,97735158424524e+01;0,655
200006971;6796608;544761;281,570;18261;6,48542103207018e+01;0,703
200007052;6598049;607091;286,360;5663;1,97758066769102e+01;0,705
200007177;6651820;684706;254,210;4879;1,91927933598206e+01;0,627
200010650;6670850;889353;426,580;54595;1,27983027802522e+02;0,649
200010700;6942990;524487;575,940;77906;1,35267562593326e+02;0,681
200011773;6571678;952292;77,820;90378;1,16137239784117e+03;0,472
200011781;6654081;697909;290,550;9663;3,32576148683531e+01;0,664
200013050;6881863;1049016;197,820;17388;8,78980891719745e+01;0,692
200015162;6146523;1229325;474,660;6011;1,26638014578856e+01;0,597
200016905;6434787;823871;223,850;6682;2,98503462139826e+01;0,623
200017341;6297876;728078;554,650;14702;2,65068060939331e+01;0,557
200017846;6810120;635717;473,100;54337;1,14853096596914e+02;0,584
200018083;7065490;616346;248,380;23225;9,35059183509139e+01;0,703
200018166;6471618;931178;647,350;101729;1,57146829381324e+02;0,685
200018406;6692638;606226;492,320;33569;6,81853266168346e+01;0,665
200018521;6612356;607468;280,170;5996;2,14012920726702e+01;0,676
200022986;6297083;766604;576,580;48811;8,46560754795518e+01;0,679
200023075;6693957;989828;385,240;18604;4,82919738344928e+01;0,534
200023125;6849827;677113;67,550;45787;6,77823834196891e+02;0,649
200023240;6796348;669930;223,920;29749;1,32855484101465e+02;0,625
200023299;6492842;976550;164,130;9185;5,59617376469871e+01;0,634
200023307;6365382;515034;355,820;47719;1,34109943229723e+02;0,603
200023372;6546792;998328;350,180;13069;3,73208064424011e+01;0,642
200023414;6925529;557757;664,140;492681;7,41833047249074e+02;0,657
200023620;6279106;542931;237,810;22069;9,28009755687313e+01;0,638
200023737;6378989;574859;594,330;41607;7,00065620110040e+01;0,646
200023778;6633022;329873;293,900;49545;1,68577747533175e+02;0,735
200023794;6453290;417376;205,140;20052;9,77478794969289e+01;0,615
200023919;6787631;678035;337,610;18716;5,54367465418678e+01;0,623
200026573;6588519;917862;350,840;20262;5,77528217991107e+01;0,609
200027027;6730399;294569;351,650;27767;7,89620361154557e+01;0,672
200027076;6637921;647654;361,670;8109;2,24209915115990e+01;0,641
200027100;6239813;965430;431,180;44109;1,02298344079039e+02;0,607
200027183;6181083;688245;646,660;268445;4,15125413664058e+02;0,598
200027217;6422924;557062;234,430;16023;6,83487608241266e+01;0,635
200027308;6741213;863932;765,480;8330;1,08820609290902e+01;0,666
200029734;6485474;456909;617,080;19917;3,22762040578207e+01;0,651
200029999;6555354;886322;170,430;14620;8,57830194214634e+01;0,633
200030195;6319562;1037769;1463,730;540281;3,69112472928750e+02;0,574
200030385;6720723;569141;793,360;105286;1,32708984571947e+02;0,649
200030435;6291421;434956;302,400;12846;4,24801587301587e+01;0,712
200030526;6800824;1039538;185,770;20254;1,09027291812456e+02;0,663
200030633;7000875;732112;374,460;64565;1,72421620466806e+02;0,636
200030658;6421449;909848;635,520;10103;1,58972180261833e+01;0,618
200030674;6379395;477860;671,550;60213;8,96627205718115e+01;0,622
200032514;6671574;692786;278,000;5508;1,98129496402878e+01;0,661
200033025;6850227;864311;400,610;34458;8,60138289109109e+01;0,703
200033090;6876269;681346;144,610;24840;1,71772353225918e+02;0,622
200033116;6555399;975953;202,330;46089;2,27791232145505e+02;0,572
200033173;6846213;626566;85,050;25178;2,96037624926514e+02;0,715
200033181;6815452;589923;863,730;136243;1,57737950516944e+02;0,675
200033298;6788605;446887;691,370;27189;3,93262652414771e+01;0,671
200033579;7020049;684660;307,750;108347;3,52061738424045e+02;0,685
200033827;6123236;1223258;649,560;12971;1,99689020259868e+01;0,567
200033868;6761766;982457;194,170;15114;7,78390070556729e+01;0,627
200034023;6287206;601164;260,480;28727;1,10284858722359e+02;0,625
200034031;6309062;652596;340,980;6415;1,88134201419438e+01;0,651
200034049;6301606;634840;264,670;11098;4,19314618203801e+01;0,624
200034056;6287286;623903;397,310;14424;3,63041453776648e+01;0,647
200034064;6333372;613049;258,650;4522;1,74830852503383e+01;0,611
200034098;6561850;982543;350,140;12145;3,46861255497801e+01;0,616
200034130;6865696;619862;95,870;22004;2,29519140502764e+02;0,715
200034197;6426782;472261;265,410;12020;4,52884216872009e+01;0,616
200034205;6160934;1232484;185,420;10666;5,75234602524000e+01;0,559
200034270;6818861;1028542;191,660;24254;1,26547010330794e+02;0,675
200034379;6328993;811179;479,390;28454;5,93545964663426e+01;0,636
200034411;6316970;780017;452,730;21879;4,83268173083295e+01;0,582
200034601;6332330;748759;430,190;5396;1,25432948232176e+01;0,565
200034635;6848471;1037642;137,260;25709;1,87301471659624e+02;0,746
200034692;6342823;826276;633,260;74411;1,17504658434134e+02;0,562
200034700;6307914;936185;843,800;62425;7,39808011377104e+01;0,548
200034718;6844457;811333;526,710;24070;4,56987716200566e+01;0,649
200034726;6300547;528757;428,310;11209;2,61702972146343e+01;0,671
200034825;6563081;612179;482,450;28734;5,95585034718624e+01;0,694
200034833;6412616;525615;668,240;18694;2,79749790494433e+01;0,649
200034874;6870166;897884;430,560;5986;1,39028242289112e+01;0,625
200034882;6537565;982873;435,680;44857;1,02958593463092e+02;0,639
200034957;6300200;572176;162,330;26724;1,64627610423212e+02;0,625
200035087;6307022;851574;258,830;59572;2,30158791484758e+02;0,566
200035103;6831852;503393;282,030;7630;2,70538595184909e+01;0,668
200035111;6838258;487513;349,760;11971;3,42263266239707e+01;0,680
200035129;6352250;797375;321,780;19164;5,95562185344024e+01;0,588
200035137;6597909;568647;514,000;6677;1,29902723735409e+01;0,722
200035202;6560682;794427;280,130;23382;8,34683896762218e+01;0,664
200035319;6271394;1003386;352,520;114875;3,25868035856122e+02;0,590
200035327;6393805;560509;249,720;5357;2,14520262694218e+01;0,654
200035442;7002529;689904;427,550;27349;6,39667875102327e+01;0,681
200035459;6344298;512034;483,130;96339;1,99405956988802e+02;0,622
200035533;6428186;455913;238,070;14518;6,09820640987945e+01;0,684
200035541;6332757;447927;1068,950;10804;1,01071144581131e+01;0,718
200035632;6290119;455101;280,160;6806;2,42932609937179e+01;0,692
200035707;6234639;616381;486,960;15786;3,24174470182356e+01;0,592
200035715;6235625;653185;1067,600;113464;1,06279505432746e+02;0,628
200035723;6332758;887527;404,080;9392;2,32429221936250e+01;0,547
200035731;6552894;775963;694,800;100288;1,44340817501439e+02;0,685
200035756;6262421;487235;384,100;7235;1,88362405623536e+01;0,688
200035764;6770606;608587;401,020;16797;4,18856914867089e+01;0,691
200035772;6822333;932225;350,590;14370;4,09880487178756e+01;0,705
200035814;6853827;442673;572,740;53786;9,39099766036945e+01;0,694
200035848;6653571;563057;275,990;5821;2,10913438892714e+01;0,728
200035855;6248325;609970;496,780;27116;5,45835178549861e+01;0,610
200035863;6221042;672674;823,590;33336;4,04764506611299e+01;0,597
200035970;6891432;623500;242,860;24859;1,02359384007247e+02;0,668
200036069;6827005;517393;405,960;13670;3,36732683022958e+01;0,685
200036077;6245929;988593;433,950;57333;1,32118907708261e+02;0,605
200036135;6626118;663623;382,960;18315;4,78248381031962e+01;0,664
200036150;6749697;914639;491,940;8517;1,73130869618246e+01;0,692
200036465;6752580;1007843;157,610;37251;2,36349216420278e+02;0,616
200036473;6521767;421513;476,430;59760;1,25432907247654e+02;0,661
200036499;6180821;1224331;182,370;23897;1,31035806327795e+02;0,547
200036523;6390428;517539;676,550;17048;2,51984332274037e+01;0,638
200036549;6705745;894790;499,630;20494;4,10183535816504e+01;0,664
200036572;6349344;526991;169,400;5244;3,09563164108619e+01;0,631
200037059;6985055;698427;466,200;27253;5,84577434577435e+01;0,700
200037133;6835151;722160;604,930;34587;5,71752103549171e+01;0,635
200038958;6104939;1198242;658,080;12721;1,93304765378070e+01;0,634
200038990;6799992;322020;332,710;26473;7,95677917706111e+01;0,639
200039022;6784298;385213;880,010;81205;9,22773604845400e+01;0,648
200039055;6691187;832287;319,570;10812;3,38329630440905e+01;0,688
200039063;6707923;838893;426,030;6997;1,64237260286834e+01;0,716
200039204;6266500;403959;733,890;53184;7,24686260883784e+01;0,664
200039519;6360690;563871;350,420;7733;2,20678043490668e+01;0,626
200039642;6748833;781285;791,700;15835;2,00012631047114e+01;0,679
200039709;6724888;777621;528,830;7247;1,37038367717414e+01;0,704
200039758;6710347;763338;726,110;18786;2,58721130407239e+01;0,674
200039808;6371952;809384;414,610;15245;3,67694942234871e+01;0,612
200039824;6398227;798480;266,950;9576;3,58718861209964e+01;0,573
200039832;6368992;789214;331,100;9264;2,79794623980670e+01;0,582
200039857;6300564;1009001;491,640;100188;2,03783256041006e+02;0,562
200039865;6893689;930280;306,180;221484;7,23378404859886e+02;0,654
200039907;6881233;940615;249,650;16331;6,54155818145404e+01;0,715
200039915;6280744;1021102;97,520;158111;1,62131870385562e+03;0,594
200039931;6328448;1017734;880,320;9677;1,09925936023264e+01;0,538
200039949;6907017;932094;126,570;51925;4,10247293987517e+02;0,641
200040038;6644798;856631;318,730;12111;3,79976782856964e+01;0,675
200040095;6449003;501609;287,340;18927;6,58697013990395e+01;0,665
200040111;6485432;917793;356,140;17045;4,78603919806818e+01;0,639
200040137;6817255;811389;442,720;9344;2,11058908565233e+01;0,700
200040178;6881219;1060737;119,900;16214;1,35229357798165e+02;0,663
200040202;6282114;936849;649,410;22218;3,42125929690026e+01;0,505
200040210;6294859;966941;557,660;9165;1,64347451852383e+01;0,569
200040244;6642905;429027;1248,250;73739;5,90739034648508e+01;0,642
200040251;6816958;715334;423,280;23292;5,50274050274050e+01;0,647
200040277;6848588;576339;1063,770;114862;1,07976348270773e+02;0,612
200040293;6600897;822475;450,750;13915;3,08707709373267e+01;0,697
200040350;6525745;907789;543,660;33923;6,23974542912850e+01;0,632
200040384;6441289;476040;237,610;12106;5,09490341315601e+01;0,622
200040392;6450056;522287;1018,430;103757;1,01879363333759e+02;0,677
200040400;6469548;494733;685,850;19607;2,85878836480280e+01;0,686
200040418;6354656;544514;452,020;8440;1,86717401884872e+01;0,594
200040426;6964196;729685;329,160;15998;4,86025033418398e+01;0,701
200040442;6305156;876928;360,890;54879;1,52065726398626e+02;0,544
200040459;6389168;846726;382,660;66944;1,74943814352166e+02;0,594
200040475;6768484;465496;463,730;18323;3,95122161602657e+01;0,678
200040491;6460829;848765;423,660;47239;1,11502147948827e+02;0,591
200040509;6401122;873179;236,660;15673;6,62258091777233e+01;0,541
200040558;6666799;582975;506,300;11078;2,18803081177168e+01;0,691
200040566;6544565;810775;560,060;50616;9,03760311395208e+01;0,633
200040574;6536209;827579;244,710;53136;2,17138653916881e+02;0,673
200040590;6547287;826987;167,860;72677;4,32961992136304e+02;0,616
200040624;6313137;892036;640,330;29137;4,55030999640810e+01;0,577
200040657;6427426;924273;675,890;18956;2,80459838139342e+01;0,610
200040681;6370477;853280;373,120;22800;6,11063464837050e+01;0,579
200040715;6453863;914606;542,540;445059;8,20324768680650e+02;0,655
200040764;6069383;1214761;588,460;21003;3,56914658600415e+01;0,524
200040772;6762239;562219;387,570;9220;2,37892509740176e+01;0,691
200040798;6487753;985148;430,850;9134;2,11999535801323e+01;0,633
200040814;6505118;578105;328,630;9110;2,77211453610443e+01;0,693
200040830;6426492;569233;326,740;9630;2,94729754544898e+01;0,633
200040889;6406034;506806;267,800;8416;3,14264376400299e+01;0,630
200040905;6330231;632203;485,060;29773;6,13800354595308e+01;0,632
200040947;7073682;667572;636,890;102391;1,60767165444582e+02;0,693
200040954;7089931;656605;450,720;53584;1,18885339013135e+02;0,704
200041010;6493974;944226;315,630;37100;1,17542692392992e+02;0,642
200041051;6413051;544558;256,120;9030;3,52569108230517e+01;0,645
200041150;6455001;555677;581,610;22357;3,84398480081154e+01;0,646
200041168;6434587;544968;482,250;15629;3,24085018144116e+01;0,609
200041283;6882122;1072527;149,270;18402;1,23279962484089e+02;0,647
200041317;6580900;430176;800,340;121220;1,51460629232576e+02;0,688
200041325;6866020;1066286;157,630;36688;2,32747573431453e+02;0,702
200041333;6619787;454509;826,400;37381;4,52335430784124e+01;0,672
200041366;6427493;841884;201,690;33809;1,67628538846745e+02;0,651
200041416;6639128;458773;196,260;6897;3,51421583613574e+01;0,675
200041440;6404472;553875;385,260;8561;2,22213570056585e+01;0,648
200041465;6426122;810143;488,930;12534;2,56355715542102e+01;0,613
200041499;6579504;400294;441,570;30188;6,83651516180900e+01;0,607
200041515;6869315;924334;269,280;40477;1,50315656565657e+02;0,663
200041523;6484075;433021;1747,170;68107;3,89813240840903e+01;0,644
200041556;6585264;619591;337,420;6635;1,96639203366724e+01;0,684
200041572;6480696;513441;402,810;11253;2,79362478587920e+01;0,665
200041614;6562615;405865;452,910;31958;7,05614802057804e+01;0,607
200041622;6970896;798096;433,120;9761;2,25364794975988e+01;0,676
200041630;6961573;831828;549,330;121469;2,21122094187465e+02;0,666
200041689;6544227;434457;1411,340;52173;3,69669959046013e+01;0,648
200041721;6760302;938852;430,930;17760;4,12131900772747e+01;0,679
200041762;6544762;393370;426,460;63220;1,48243680532758e+02;0,623
200041853;6715074;941482;238,800;6580;2,75544388609715e+01;0,642
200041861;6738260;949855;371,390;11053;2,97611675058564e+01;0,663
200041879;6744275;931856;367,150;13180;3,58981342775432e+01;0,678
200041887;6691089;909511;303,210;14340;4,72939546848719e+01;0,655
200041960;7045944;711051;312,350;95816;3,06758444053145e+02;0,720
200041994;6593893;454836;346,960;30803;8,87796864191838e+01;0,668
200042000;6795093;972949;221,560;15159;6,84193897815490e+01;0,632
200042174;6764525;227162;732,700;204107;2,78568308994131e+02;0,681
200042182;6817118;460029;546,930;16022;2,92944252463752e+01;0,709
200042190;7030278;727813;373,920;158837;4,24788724860933e+02;0,631
200042372;6277163;522232;403,920;10687;2,64582095464448e+01;0,659
200042414;6630745;873409;283,100;9875;3,48816672553868e+01;0,654
200042463;6253225;644488;297,560;5838;1,96195725231886e+01;0,618
200042497;6542569;841126;180,990;38587;2,13199624288635e+02;0,668
200042604;6869328;371613;286,110;44276;1,54751668938520e+02;0,731
200042620;6892264;814275;479,710;7712;1,60763794792687e+01;0,689
200042646;6284453;710236;459,460;20176;4,39124189265660e+01;0,613
200042653;6254119;698223;314,200;17810;5,66836409929981e+01;0,649
200042703;6887739;833863;833,950;11969;1,43521793872534e+01;0,735
200042729;6925774;388199;302,780;23039;7,60915516216395e+01;0,705
200042901;6363221;843569;289,330;42442;1,46690630076383e+02;0,555
200042935;6564105;899292;610,630;63099;1,03334261336652e+02;0,597
200042943;6218509;1222755;308,610;6766;2,19241113379346e+01;0,639
200042992;6839755;824740;288,260;5663;1,96454589606605e+01;0,708
200043016;6550402;480528;402,610;13841;3,43781823601003e+01;0,672
200043065;6706608;549156;253,100;27851;1,10039510075069e+02;0,682
200043081;6678652;487308;347,460;23447;6,74811489092270e+01;0,695
200043123;6743818;246576;524,400;87546;1,66945080091533e+02;0,684
200043156;6932805;792557;815,890;29904;3,66519996568165e+01;0,687
200043172;6457626;577489;807,960;107507;1,33059804940839e+02;0,676
200043263;7005010;769559;419,460;29788;7,10151146712440e+01;0,630
200043321;7016770;748986;468,300;48392;1,03335468716635e+02;0,683
200043354;6869827;392693;296,530;15669;5,28411965062557e+01;0,686
200043396;7017532;768862;345,480;125160;3,62278568947551e+02;0,583
200043404;6996057;779824;179,930;25055;1,39248596676485e+02;0,610
200043438;6865611;808019;492,060;9499;1,93045563549161e+01;0,703
200043495;6937737;745835;308,580;42622;1,38123015101432e+02;0,646
200043602;6159148;698723;294,860;55610;1,88597978701757e+02;0,653
200043628;6598468;498309;376,930;26673;7,07638022975088e+01;0,706
200043693;6932113;890415;243,670;15397;6,31879180859359e+01;0,628
200043776;6195815;627620;933,900;13844;1,48238569439983e+01;0,579
200043974;6384335;436094;826,010;38723;4,68795777290832e+01;0,628
200043982;6370994;449455;607,290;15722;2,58887846004380e+01;0,671
200043990;6768867;333374;503,880;43861;8,70465190124633e+01;0,623
200044014;6533050;632935;614,230;11915;1,93982710059750e+01;0,650
200044030;7033051;628847;501,980;29653;5,90720745846448e+01;0,706
200044048;7018344;700460;333,160;42277;1,26896986432945e+02;0,686
200044253;6813884;857967;698,050;12523;1,79399756464437e+01;0,633
200044394;6390897;457350;326,020;23860;7,31856941291945e+01;0,617
200044469;6217270;607621;336,990;10522;3,12234784414968e+01;0,609
200044618;7027832;708299;236,380;148983;6,30269058295964e+02;0,634
200046977;6521302;842463;537,240;1398892;2,60384930384930e+03;0,605
200048551;6760056;400356;646,220;28752;4,44925876636440e+01;0,664
200049187;6903301;871346;295,210;27727;9,39229700890891e+01;0,674
200049211;6165539;649891;785,910;20466;2,60411497499714e+01;0,569
200049484;6613335;649751;858,730;11721;1,36492261828514e+01;0,648
200054781;6859932;655704;814,890;7075028;8,68218777994576e+03;0,621
200054807;6268483;891573;3158,320;1889666;5,98313660427062e+02;0,534
200055481;6741867;581563;517,840;19756;3,81507801637571e+01;0,663
200055655;6881035;666651;342,210;354451;1,03577043335963e+03;0,511
200055887;6809453;435894;626,750;36727;5,85991224571201e+01;0,675
200056232;6844216;643328;186,930;314169;1,68067725886696e+03;0,635
200056380;6878859;650264;74,790;182585;2,44130231314347e+03;0,610
200057859;6834243;646757;133,420;201873;1,51306400839454e+03;0,584
200057958;6861017;672614;96,310;227943;2,36676357595265e+03;0,591
200058360;6809697;569017;455,910;21199;4,64982123664758e+01;0,681
200058477;6844178;661826;66,850;177020;2,64801795063575e+03;0,581
200058485;6878552;642448;86,910;278166;3,20062133241284e+03;0,600
200058519;6867205;635495;114,900;335109;2,91652741514360e+03;0,653
200058782;6853766;625743;120,070;228312;1,90149079703506e+03;0,600
200059228;6834854;663442;215,710;352123;1,63239070974920e+03;0,521
200059392;6478758;874961;658,050;54727;8,31654129625408e+01;0,643
200059400;6529872;535091;340,020;25692;7,55602611611082e+01;0,683
200059889;6876176;613346;508,480;417556;8,21184707363121e+02;0,571
200060010;6689534;397797;1318,210;119881;9,09422626136958e+01;0,641
200065563;6908777;474221;280,570;31223;1,11284171508002e+02;0,716
200065589;6896954;468485;167,120;18334;1,09705600765917e+02;0,685
200065597;6905066;454661;349,610;268470;7,67912817139098e+02;0,707
200065647;6713607;985180;449,860;140002;3,11212377184013e+02;0,590
200065787;6917295;525061;316,630;32961;1,04099422038341e+02;0,652
200065886;6503507;779691;1314,300;109787;8,35326789926197e+01;0,661
200065894;6516988;798098;555,610;63673;1,14600169183420e+02;0,669
200065928;6865668;231117;901,130;99520;1,10439115332971e+02;0,726
200066009;6749825;1025622;439,110;274066;6,24139737195691e+02;0,565
200066017;6903799;516515;408,820;20493;5,01271953426936e+01;0,641
200066025;6775341;1036549;328,910;33336;1,01352953695540e+02;0,644
200066033;6733451;1008742;230,280;22297;9,68256036129929e+01;0,625
200066041;6726159;1023225;433,300;47562;1,09766905146550e+02;0,616
200066058;6732074;1034372;270,000;80298;2,97400000000000e+02;0,594
200066108;6834798;869767;739,930;16555;2,23737380563026e+01;0,672
200066116;6902659;854332;494,380;7106;1,43735588009224e+01;0,699
200066124;6313417;607757;1186,470;74203;6,25409829157079e+01;0,610
200066132;6928740;858066;442,670;9663;2,18289018907990e+01;0,637
200066140;6871274;865291;663,900;6496;9,78460611537882e+00;0,702
200066157;6842803;890520;711,480;22271;3,13023556530050e+01;0,652
200066165;6886604;871314;350,690;9121;2,60087256551370e+01;0,680
200066173;6918966;883140;496,710;8242;1,65931831450947e+01;0,625
200066223;6229527;566517;384,520;10850;2,82169978154582e+01;0,559
200066231;6229867;586217;418,590;39515;9,44002484531403e+01;0,603
200066280;6787381;643059;491,180;29209;5,94669978419317e+01;0,627
200066322;6327657;546278;450,210;41411;9,19815197352347e+01;0,578
200066330;6679483;663471;693,230;26017;3,75301126610216e+01;0,676
200066348;6259680;683716;783,930;14630;1,86623805696937e+01;0,597
200066355;6263227;754769;374,770;125325;3,34405101795768e+02;0,619
200066363;6183625;599600;1090,460;7128;6,53669093776938e+00;0,668
200066371;6420815;598457;1261,540;45207;3,58347733722276e+01;0,636
200066389;6897149;401844;794,550;75972;9,56163866339437e+01;0,700
200066405;6918343;538374;341,260;40774;1,19480747816914e+02;0,682
200066413;6890113;528883;903,150;55048;6,09511155400543e+01;0,653
200066462;6858917;541399;709,080;38516;5,43182715631523e+01;0,664
200066512;6548171;571540;618,450;27811;4,49688737973967e+01;0,690
200066520;6516898;536159;421,800;11387;2,69962067330488e+01;0,685
200066553;6286575;676626;795,110;8007;1,00703047377092e+01;0,647
200066561;6285844;651631;464,450;12588;2,71030250834320e+01;0,660
200066587;6510788;813172;398,760;35088;8,79927776105928e+01;0,592
200066603;6482432;574861;255,650;7536;2,94778016819871e+01;0,740
200066637;6454985;700541;904,350;11555;1,27771327472770e+01;0,689
200066645;6496624;608998;516,500;5007;9,69409486931268e+00;0,723
200066652;6310626;560664;439,240;42008;9,56379200437119e+01;0,594
200066660;6430368;702196;1381,170;23447;1,69761868560713e+01;0,700
200066678;6413831;644353;1051,640;21207;2,01656460385683e+01;0,711
200066710;6882390;452246;356,710;24381;6,83496397633932e+01;0,672
200066728;6894366;447145;130,650;25392;1,94351320321470e+02;0,721
200066744;6496916;643874;1826,900;33330;1,82440199244622e+01;0,703
200066751;6445488;620385;653,930;11396;1,74269417215910e+01;0,722
200066769;6439205;600582;381,780;12997;3,40431662213840e+01;0,671
200066777;6780444;294878;733,070;42001;5,72946649023968e+01;0,642
200066785;6761549;304304;641,370;38981;6,07777102140730e+01;0,644
200066793;6533044;941446;537,600;203784;3,79062500000000e+02;0,617
200066801;6915292;415869;591,710;26680;4,50896554055196e+01;0,697
200066819;6241908;556972;410,840;30182;7,34641222860481e+01;0,616
200066827;6923969;503979;195,560;27283;1,39512170177951e+02;0,670
200066835;6841489;751536;763,440;21360;2,79786230745049e+01;0,652
200066850;6879622;756718;583,220;21104;3,61853160042523e+01;0,697
200066868;6822901;155132;282,660;22616;8,00113210217222e+01;0,709
200066876;6873791;793982;811,150;79518;9,80311902853973e+01;0,652
200066884;6326995;583255;337,550;22227;6,58480225151829e+01;0,574
200066892;6801352;820011;447,610;7674;1,71443890887156e+01;0,694
200066918;6337937;786474;925,240;129931;1,40429510181142e+02;0,582
200066926;6293068;505092;605,960;38936;6,42550663410126e+01;0,702
200066975;6901385;673463;197,720;24345;1,23128666801538e+02;0,674
200067023;6888735;377741;507,700;47841;9,42308449871972e+01;0,718
200067031;6913415;374893;488,960;21929;4,48482493455497e+01;0,711
200067049;6136029;1180643;923,250;7617;8,25020308692120e+00;0,640
200067064;6387078;640679;185,830;18735;1,00817951891514e+02;0,629
200067072;6862919;178780;248,650;31610;1,27126483008245e+02;0,744
200067080;6740869;757239;591,900;14934;2,52306132792701e+01;0,687
200067106;6250994;361651;2998,880;312278;1,04131542442512e+02;0,690
200067114;6742478;743526;437,290;68050;1,55617553568570e+02;0,680
200067122;6337617;561587;220,470;11008;4,99296956502018e+01;0,590
200067130;6728029;720300;1727,810;34228;1,98100485585799e+01;0,676
200067155;6316416;685676;431,910;13653;3,16107522400500e+01;0,655
200067163;6302528;684301;654,290;6285;9,60583227620780e+00;0,663
200067171;6403660;679750;863,360;10147;1,17529188287620e+01;0,722
200067189;6542716;612494;882,970;13563;1,53606577799925e+01;0,660
200067197;6829241;194795;396,880;7652;1,92803870187462e+01;0,625
200067205;6944781;372160;1421,290;179484;1,26282461707322e+02;0,702
200067213;6905495;771558;1436,810;295926;2,05960426221978e+02;0,656
200067221;6771585;263888;627,310;42823;6,82644944285919e+01;0,663
200067239;6272459;429214;524,710;28481;5,42795067751710e+01;0,693
200067247;6813042;174386;424,440;22927;5,40170577702384e+01;0,681
200067254;6250711;424670;343,860;161871;4,70746815564474e+02;0,670
200067262;6231929;405358;1070,480;32154;3,00369927509155e+01;0,644
200067288;6261576;386546;444,330;17445;3,92613598001485e+01;0,664
200067296;6259064;443404;583,420;34273;5,87449864591546e+01;0,682
200067304;6766468;751702;467,790;24133;5,15893884007781e+01;0,671
